timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,symbol
2024-04-18,0.49510000,0.50570000,0.48560000,0.50250000,408855589.00000000,2024-04-18 23:59:59.999,202498358.68960000,249459,196543625.00000000,97329255.56110000,XRPUSDT
2024-04-19,0.50260000,0.51080000,0.46650000,0.50300000,649243049.00000000,2024-04-19 23:59:59.999,320230549.44560000,363319,313789568.00000000,154795553.31030000,XRPUSDT
2024-04-20,0.50300000,0.53000000,0.49810000,0.52880000,323152269.00000000,2024-04-20 23:59:59.999,167172289.56780000,204386,162512943.00000000,84112690.20240000,XRPUSDT
2024-04-21,0.52880000,0.53670000,0.51830000,0.52460000,209381366.00000000,2024-04-21 23:59:59.999,110387883.58480000,155833,100547094.00000000,53016724.45690000,XRPUSDT
2024-04-22,0.52460000,0.57150000,0.52210000,0.55600000,481213218.00000000,2024-04-22 23:59:59.999,261174906.79990000,273001,244694948.00000000,132789856.84330000,XRPUSDT
2024-04-23,0.55600000,0.55760000,0.54150000,0.54450000,395536969.00000000,2024-04-23 23:59:59.999,216977134.99040000,219355,186980232.00000000,102574056.52570000,XRPUSDT
2024-04-24,0.54450000,0.55190000,0.52120000,0.52750000,437750382.00000000,2024-04-24 23:59:59.999,235729630.86250000,233320,207609850.00000000,111788495.07210000,XRPUSDT
2024-04-25,0.52760000,0.53270000,0.51370000,0.52540000,358100461.00000000,2024-04-25 23:59:59.999,187496339.63200000,197973,155817786.00000000,81604904.37860000,XRPUSDT
2024-04-26,0.52540000,0.53610000,0.51430000,0.52610000,354085810.00000000,2024-04-26 23:59:59.999,185956511.47840000,186864,168257507.00000000,88351476.63980000,XRPUSDT
2024-04-27,0.52610000,0.52650000,0.50800000,0.51790000,195569696.00000000,2024-04-27 23:59:59.999,101032224.50980000,115655,92353959.00000000,47709844.53790000,XRPUSDT
2024-04-28,0.51780000,0.52530000,0.50850000,0.51030000,135893039.00000000,2024-04-28 23:59:59.999,70458610.20890000,94278,62851100.00000000,32599225.33470000,XRPUSDT
2024-04-29,0.51040000,0.51750000,0.49860000,0.51510000,347828455.00000000,2024-04-29 23:59:59.999,176581449.90240000,163488,160336913.00000000,81458927.70650000,XRPUSDT
2024-04-30,0.51500000,0.51980000,0.48750000,0.50060000,395591280.00000000,2024-04-30 23:59:59.999,198721791.99930000,207128,179569350.00000000,90167634.88380000,XRPUSDT
2024-05-01,0.50060000,0.52140000,0.47820000,0.51750000,478521177.00000000,2024-05-01 23:59:59.999,238496942.20370000,245638,217756130.00000000,108596358.41850000,XRPUSDT
2024-05-02,0.51750000,0.52450000,0.50670000,0.51800000,344602656.00000000,2024-05-02 23:59:59.999,177688990.70010000,163360,165472280.00000000,85351630.43200000,XRPUSDT
2024-05-03,0.51800000,0.53670000,0.51450000,0.53170000,363626848.00000000,2024-05-03 23:59:59.999,190081086.40270000,172451,184485459.00000000,96451806.24780000,XRPUSDT
2024-05-04,0.53170000,0.54100000,0.52720000,0.53020000,158694221.00000000,2024-05-04 23:59:59.999,84581329.51590000,104262,73660828.00000000,39258811.18040000,XRPUSDT
2024-05-05,0.53020000,0.53340000,0.52400000,0.52960000,112344720.00000000,2024-05-05 23:59:59.999,59417628.28420000,84937,52446737.00000000,27738383.13790000,XRPUSDT
2024-05-06,0.52950000,0.57030000,0.52470000,0.54020000,567274807.00000000,2024-05-06 23:59:59.999,308959227.28580000,329404,284940447.00000000,155207393.11640000,XRPUSDT
2024-05-07,0.54010000,0.54430000,0.52170000,0.52450000,346192205.00000000,2024-05-07 23:59:59.999,185972116.89210000,182921,167078213.00000000,89774525.83720000,XRPUSDT
2024-05-08,0.52440000,0.53000000,0.51530000,0.51710000,346832658.00000000,2024-05-08 23:59:59.999,181169260.55100000,172317,169043801.00000000,88313860.56480000,XRPUSDT
2024-05-09,0.51700000,0.52380000,0.50870000,0.52090000,299812797.00000000,2024-05-09 23:59:59.999,154978198.37290000,142986,147922544.00000000,76478554.74370000,XRPUSDT
2024-05-10,0.52090000,0.52090000,0.49700000,0.50220000,356081362.00000000,2024-05-10 23:59:59.999,181324120.64510000,183584,177820078.00000000,90579688.82410000,XRPUSDT
2024-05-11,0.50220000,0.50790000,0.50050000,0.50590000,99554446.00000000,2024-05-11 23:59:59.999,50215891.63990000,67159,46491227.00000000,23454502.06520000,XRPUSDT
2024-05-12,0.50590000,0.50880000,0.49570000,0.49930000,96995150.00000000,2024-05-12 23:59:59.999,48846226.61800000,61866,45550782.00000000,22934443.17540000,XRPUSDT
2024-05-13,0.49930000,0.51210000,0.48660000,0.50530000,307847853.00000000,2024-05-13 23:59:59.999,154227486.40180000,169093,146338551.00000000,73326785.71230000,XRPUSDT
2024-05-14,0.50520000,0.51320000,0.49720000,0.50020000,306746811.00000000,2024-05-14 23:59:59.999,154803622.06440000,144779,141367808.00000000,71352277.77360000,XRPUSDT
2024-05-15,0.50020000,0.51960000,0.49670000,0.51880000,323956909.00000000,2024-05-15 23:59:59.999,163996243.74660000,136661,164762450.00000000,83393934.98460000,XRPUSDT
2024-05-16,0.51880000,0.52280000,0.51230000,0.51570000,327561119.00000000,2024-05-16 23:59:59.999,169549941.31060000,136787,153800264.00000000,79605862.59050000,XRPUSDT
2024-05-17,0.51580000,0.52920000,0.51350000,0.52340000,286496760.00000000,2024-05-17 23:59:59.999,149222311.88640000,123562,143678644.00000000,74823239.01290000,XRPUSDT
2024-05-18,0.52350000,0.52560000,0.51860000,0.52130000,90176826.00000000,2024-05-18 23:59:59.999,47112655.49790000,58571,40163730.00000000,20984352.04820000,XRPUSDT
2024-05-19,0.52130000,0.52360000,0.50630000,0.50960000,112974578.00000000,2024-05-19 23:59:59.999,58212030.83500000,72307,49085000.00000000,25292281.28320000,XRPUSDT
2024-05-20,0.50960000,0.53800000,0.50640000,0.53770000,404880454.00000000,2024-05-20 23:59:59.999,211108604.73210000,190770,205499118.00000000,107174265.24500000,XRPUSDT
2024-05-21,0.53770000,0.55710000,0.53190000,0.53700000,491396281.00000000,2024-05-21 23:59:59.999,265966456.33890000,247339,234285022.00000000,126844602.69990000,XRPUSDT
